time,open,high,low,close,tick_volume,spread,real_volume
2024-08-12 15:45:00,1.09175,1.09193,1.09167,1.09191,706,15,0
2024-08-12 16:00:00,1.09192,1.09222,1.09191,1.09221,630,15,0
2024-08-12 16:15:00,1.0922,1.09273,1.09208,1.09255,888,15,0
2024-08-12 16:30:00,1.09255,1.09301,1.0924800000000001,1.09296,1124,15,0
2024-08-12 16:45:00,1.09296,1.09326,1.09233,1.09244,1500,15,0
2024-08-12 17:00:00,1.09243,1.09243,1.09163,1.09179,1139,15,0
2024-08-12 17:15:00,1.09179,1.09203,1.09143,1.09203,898,15,0
2024-08-12 17:30:00,1.09203,1.09286,1.09203,1.09257,830,15,0
2024-08-12 17:45:00,1.09259,1.09324,1.09228,1.09303,1103,15,0
2024-08-12 18:00:00,1.09304,1.09386,1.09294,1.09363,1301,15,0
2024-08-12 18:15:00,1.09361,1.09373,1.09331,1.09369,1431,15,0
2024-08-12 18:30:00,1.09368,1.09369,1.09265,1.09289,1150,15,0
2024-08-12 18:45:00,1.0928,1.09312,1.09263,1.09263,899,15,0
2024-08-12 19:00:00,1.09262,1.09286,1.09249,1.09277,914,15,0
2024-08-12 19:15:00,1.09278,1.09286,1.09244,1.09266,882,15,0
2024-08-12 19:30:00,1.09266,1.0927,1.09214,1.0922,817,15,0
2024-08-12 19:45:00,1.09223,1.09236,1.09209,1.09219,519,15,0
2024-08-12 20:00:00,1.09219,1.09257,1.09212,1.09256,649,15,0
2024-08-12 20:15:00,1.09256,1.09278,1.09243,1.09275,520,15,0
2024-08-12 20:30:00,1.09276,1.09307,1.09276,1.09286,615,15,0
2024-08-12 20:45:00,1.09289,1.09328,1.09289,1.09322,562,15,0
2024-08-12 21:00:00,1.09323,1.09341,1.0931899999999999,1.0932,551,15,0
2024-08-12 21:15:00,1.09321,1.09323,1.09288,1.09289,488,15,0
2024-08-12 21:30:00,1.09288,1.09297,1.09284,1.09287,409,15,0
2024-08-12 21:45:00,1.09286,1.09298,1.09275,1.09296,350,15,0
2024-08-12 22:00:00,1.09295,1.09323,1.09294,1.09307,454,15,0
2024-08-12 22:15:00,1.09306,1.09313,1.09295,1.09307,261,15,0
2024-08-12 22:30:00,1.09307,1.09324,1.09293,1.09297,658,15,0
2024-08-12 22:45:00,1.09297,1.09308,1.09288,1.09307,404,15,0
2024-08-12 23:00:00,1.09308,1.09308,1.09278,1.09285,238,15,0
2024-08-12 23:15:00,1.09284,1.09293,1.0926,1.09261,170,25,0
2024-08-12 23:30:00,1.09263,1.09294,1.0926,1.09294,149,25,0
2024-08-12 23:45:00,1.09294,1.0931,1.09288,1.093,304,25,0
2024-08-13 00:00:00,1.09269,1.09285,1.09267,1.09284,54,45,0
2024-08-13 00:15:00,1.09284,1.09315,1.09284,1.09301,51,28,0
2024-08-13 00:30:00,1.09307,1.0930900000000001,1.093,1.0930900000000001,64,30,0
