close_days,sl_perc,tp_perc,buy_threshold,sell_threshold,Return [%]
1,0.003,0.006,0.001,0.002,-2.0413946788156068
1,0.003,0.004,0.001,0.002,-2.0413946788156068
1,0.003,0.003,0.001,0.002,-2.0413946788156068
1,0.003,0.007,0.001,0.002,-2.0413946788156068
1,0.003,0.005,0.001,0.002,-2.0413946788156068
1,0.003,0.002,0.001,0.002,-2.0413946788156068
1,0.003,0.008,0.001,0.002,-2.0413946788156068
1,0.003,0.001,0.001,0.002,-2.0413946788156068
2,0.002,0.005,0.001,0.001,-1.9750385681884381
2,0.002,0.003,0.001,0.001,-1.9750385681884381
2,0.002,0.002,0.001,0.001,-1.9750385681884381
2,0.002,0.001,0.001,0.001,-1.9750385681884381
2,0.002,0.004,0.001,0.001,-1.9750385681884381
2,0.002,0.008,0.001,0.001,-1.9750385681884381
2,0.002,0.006,0.001,0.001,-1.9750385681884381
2,0.002,0.007,0.001,0.001,-1.9750385681884381
1,0.007,0.007,0.001,0.001,-1.9592046684803865
1,0.007,0.001,0.001,0.001,-1.9592046684803865
1,0.007,0.003,0.001,0.001,-1.9592046684803865
1,0.007,0.002,0.001,0.001,-1.9592046684803865
1,0.007,0.008,0.001,0.001,-1.9592046684803865
1,0.007,0.006,0.001,0.001,-1.9592046684803865
1,0.007,0.004,0.001,0.001,-1.9592046684803865
1,0.007,0.005,0.001,0.001,-1.9592046684803865
2,0.002,0.003,0.001,0.004,-1.9051424941702446
2,0.002,0.005,0.001,0.004,-1.9051424941702446
2,0.002,0.001,0.001,0.004,-1.9051424941702446
2,0.002,0.002,0.001,0.004,-1.9051424941702446
2,0.002,0.007,0.001,0.004,-1.9051424941702446
2,0.002,0.004,0.001,0.004,-1.9051424941702446
2,0.002,0.006,0.001,0.004,-1.9051424941702446
2,0.002,0.008,0.001,0.004,-1.9051424941702446
1,0.004,0.006,0.001,0.002,-1.8454016889679867
1,0.004,0.007,0.001,0.002,-1.8454016889679867
1,0.004,0.001,0.001,0.002,-1.8454016889679867
1,0.004,0.005,0.001,0.002,-1.8454016889679867
1,0.004,0.004,0.001,0.002,-1.8454016889679867
1,0.004,0.008,0.001,0.002,-1.8454016889679867
1,0.004,0.003,0.001,0.002,-1.8454016889679867
1,0.004,0.002,0.001,0.002,-1.8454016889679867
1,0.006,0.001,0.001,0.001,-1.8414817632319114
1,0.006,0.008,0.001,0.001,-1.8414817632319114
1,0.006,0.002,0.001,0.001,-1.8414817632319114
1,0.006,0.004,0.001,0.001,-1.8414817632319114
1,0.006,0.003,0.001,0.001,-1.8414817632319114
1,0.006,0.007,0.001,0.001,-1.8414817632319114
1,0.006,0.005,0.001,0.001,-1.8414817632319114
1,0.006,0.006,0.001,0.001,-1.8414817632319114
1,0.003,0.001,0.001,0.001,-1.7887946387623022
1,0.003,0.007,0.001,0.001,-1.7887946387623022
1,0.003,0.003,0.001,0.001,-1.7887946387623022
1,0.003,0.006,0.001,0.001,-1.7887946387623022
1,0.003,0.002,0.001,0.001,-1.7887946387623022
1,0.003,0.005,0.001,0.001,-1.7887946387623022
1,0.003,0.004,0.001,0.001,-1.7887946387623022
1,0.003,0.008,0.001,0.001,-1.7887946387623022
1,0.004,0.003,0.001,0.005,-1.7848398219924395
1,0.004,0.005,0.001,0.005,-1.7848398219924395
1,0.004,0.001,0.001,0.005,-1.7848398219924395
1,0.004,0.008,0.001,0.005,-1.7848398219924395
1,0.004,0.002,0.001,0.005,-1.7848398219924395
1,0.004,0.004,0.001,0.005,-1.7848398219924395
1,0.004,0.007,0.001,0.005,-1.7848398219924395
1,0.004,0.006,0.001,0.005,-1.7848398219924395
1,0.007,0.007,0.001,0.003,-1.6886564983902115
1,0.007,0.003,0.001,0.003,-1.6886564983902115
1,0.007,0.004,0.001,0.003,-1.6886564983902115
1,0.007,0.005,0.001,0.003,-1.6886564983902115
1,0.007,0.002,0.001,0.003,-1.6886564983902115
1,0.007,0.001,0.001,0.003,-1.6886564983902115
1,0.007,0.006,0.001,0.003,-1.6886564983902115
1,0.007,0.008,0.001,0.003,-1.6886564983902115
1,0.003,0.002,0.001,0.005,-1.6754843264725994
1,0.003,0.005,0.001,0.005,-1.6754843264725994
1,0.003,0.006,0.001,0.005,-1.6754843264725994
1,0.003,0.008,0.001,0.005,-1.6754843264725994
1,0.003,0.003,0.001,0.005,-1.6754843264725994
1,0.003,0.004,0.001,0.005,-1.6754843264725994
1,0.003,0.001,0.001,0.005,-1.6754843264725994
1,0.003,0.007,0.001,0.005,-1.6754843264725994
1,0.008,0.002,0.001,0.001,-1.6299372595127957
1,0.008,0.003,0.001,0.001,-1.6299372595127957
1,0.008,0.006,0.001,0.001,-1.6299372595127957
1,0.008,0.001,0.001,0.001,-1.6299372595127957
1,0.008,0.008,0.001,0.001,-1.6299372595127957
1,0.008,0.007,0.001,0.001,-1.6299372595127957
1,0.008,0.005,0.001,0.001,-1.6299372595127957
1,0.008,0.004,0.001,0.001,-1.6299372595127957
2,0.006,0.004,0.001,0.005,-1.5867964980989389
2,0.006,0.007,0.001,0.005,-1.5867964980989389
2,0.006,0.002,0.001,0.005,-1.5867964980989389
2,0.006,0.001,0.001,0.005,-1.5867964980989389
2,0.006,0.006,0.001,0.005,-1.5867964980989389
2,0.006,0.005,0.001,0.005,-1.5867964980989389
2,0.006,0.008,0.001,0.005,-1.5867964980989389
2,0.006,0.003,0.001,0.005,-1.5867964980989389
2,0.008,0.002,0.001,0.005,-1.5702403949537143
2,0.008,0.004,0.001,0.005,-1.5702403949537143
2,0.008,0.007,0.001,0.005,-1.5702403949537143
2,0.008,0.003,0.001,0.005,-1.5702403949537143
2,0.008,0.001,0.001,0.005,-1.5702403949537143
2,0.008,0.005,0.001,0.005,-1.5702403949537143
2,0.008,0.006,0.001,0.005,-1.5702403949537143
2,0.008,0.008,0.001,0.005,-1.5702403949537143
2,0.003,0.005,0.001,0.002,-1.5682607733421605
2,0.003,0.007,0.001,0.002,-1.5682607733421605
2,0.003,0.006,0.001,0.002,-1.5682607733421605
2,0.003,0.008,0.001,0.002,-1.5682607733421605
2,0.003,0.002,0.001,0.002,-1.5682607733421605
2,0.003,0.001,0.001,0.002,-1.5682607733421605
2,0.003,0.004,0.001,0.002,-1.5682607733421605
2,0.003,0.003,0.001,0.002,-1.5682607733421605
1,0.007,0.001,0.001,0.004,-1.5613050221162628
1,0.007,0.006,0.001,0.004,-1.5613050221162628
1,0.007,0.002,0.001,0.004,-1.5613050221162628
1,0.007,0.008,0.001,0.004,-1.5613050221162628
1,0.007,0.007,0.001,0.004,-1.5613050221162628
1,0.007,0.003,0.001,0.004,-1.5613050221162628
1,0.007,0.004,0.001,0.004,-1.5613050221162628
1,0.007,0.005,0.001,0.004,-1.5613050221162628
2,0.006,0.002,0.001,0.002,-1.5123509970940745
2,0.006,0.007,0.001,0.002,-1.5123509970940745
2,0.006,0.001,0.001,0.002,-1.5123509970940745
2,0.006,0.003,0.001,0.002,-1.5123509970940745
2,0.006,0.008,0.001,0.002,-1.5123509970940745
2,0.006,0.005,0.001,0.002,-1.5123509970940745
2,0.006,0.004,0.001,0.002,-1.5123509970940745
2,0.006,0.006,0.001,0.002,-1.5123509970940745
1,0.005,0.002,0.001,0.003,-1.5045813095622596
1,0.005,0.006,0.001,0.003,-1.5045813095622596
1,0.005,0.001,0.001,0.003,-1.5045813095622596
1,0.005,0.005,0.001,0.003,-1.5045813095622596
1,0.005,0.003,0.001,0.003,-1.5045813095622596
1,0.005,0.008,0.001,0.003,-1.5045813095622596
1,0.005,0.004,0.001,0.003,-1.5045813095622596
1,0.005,0.007,0.001,0.003,-1.5045813095622596
2,0.008,0.001,0.001,0.002,-1.4930340577060974
2,0.008,0.004,0.001,0.002,-1.4930340577060974
2,0.008,0.006,0.001,0.002,-1.4930340577060974
